Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Jan 3 2006,Michigan,63,Indiana,70,,
Wed Jan 4 2006,Purdue,53,Northwestern,66,,
Thu Jan 5 2006,Michigan St.,50,Illinois,60,,
Thu Jan 5 2006,Penn St.,69,Ohio St.,104,,
Thu Jan 5 2006,Iowa,52,Wisconsin,66,,
Sat Jan 7 2006,Ohio St.,79,Indiana,81,,
Sat Jan 7 2006,Illinois,48,Iowa,63,,
Sat Jan 7 2006,Purdue,65,Michigan,68,,
Sat Jan 7 2006,Northwestern,57,Minnesota,49,,
Sun Jan 8 2006,Michigan St.,63,Wisconsin,82,,
Tue Jan 10 2006,Wisconsin,64,Minnesota,62,,
Wed Jan 11 2006,Indiana,73,Michigan St.,87,,
Wed Jan 11 2006,Penn St.,65,Northwestern,61,,
Wed Jan 11 2006,Ohio St.,80,Purdue,64,,
Sat Jan 14 2006,Michigan,74,Illinois,79,,
Sat Jan 14 2006,Iowa,80,Penn St.,76,,
Sat Jan 14 2006,Minnesota,55,Purdue,72,,
Sat Jan 14 2006,Northwestern,52,Wisconsin,68,,
Sun Jan 15 2006,Michigan St.,62,Ohio St.,59,2OT,
Tue Jan 17 2006,Illinois,60,Indiana,62,,
Wed Jan 18 2006,Minnesota,72,Iowa,76,3OT,
Wed Jan 18 2006,Northwestern,51,Michigan,68,,
Wed Jan 18 2006,Wisconsin,67,Ohio St.,77,,
Wed Jan 18 2006,Purdue,54,Penn St.,74,,
Sat Jan 21 2006,Purdue,49,Indiana,62,,
Sat Jan 21 2006,Iowa,55,Michigan St.,85,,
Sat Jan 21 2006,Michigan,71,Minnesota,55,,
Sat Jan 21 2006,Illinois,58,Northwestern,47,,
Sat Jan 21 2006,Ohio St.,75,Penn St.,64,,
Tue Jan 24 2006,Indiana,60,Iowa,73,,
Wed Jan 25 2006,Minnesota,53,Illinois,77,,
Wed Jan 25 2006,Michigan St.,67,Michigan,72,,
Wed Jan 25 2006,Northwestern,78,Purdue,76,OT,
Wed Jan 25 2006,Penn St.,43,Wisconsin,72,,
Sat Jan 28 2006,Purdue,58,Illinois,76,,
Sat Jan 28 2006,Ohio St.,62,Iowa,67,,
Sat Jan 28 2006,Wisconsin,76,Michigan,85,,
Sat Jan 28 2006,Penn St.,60,Michigan St.,69,,
Sun Jan 29 2006,Indiana,42,Minnesota,61,,
Tue Jan 31 2006,Illinois,66,Wisconsin,51,,
Wed Feb 1 2006,Northwestern,63,Indiana,72,,
Wed Feb 1 2006,Michigan,71,Penn St.,65,,
Wed Feb 1 2006,Iowa,77,Purdue,68,,
Sat Feb 4 2006,Penn St.,66,Illinois,65,,
Sat Feb 4 2006,Michigan,66,Iowa,94,,
Sat Feb 4 2006,Michigan St.,77,Northwestern,66,,
Sat Feb 4 2006,Minnesota,53,Ohio St.,67,,
Sat Feb 4 2006,Wisconsin,62,Purdue,70,,
Wed Feb 8 2006,Purdue,52,Michigan St.,77,,
Wed Feb 8 2006,Iowa,48,Northwestern,51,,
Wed Feb 8 2006,Minnesota,77,Penn St.,66,,
Wed Feb 8 2006,Indiana,54,Wisconsin,72,,
Thu Feb 9 2006,Ohio St.,94,Michigan,85,,
Sat Feb 11 2006,Iowa,70,Indiana,67,,
Sat Feb 11 2006,Michigan St.,55,Minnesota,69,,
Sat Feb 11 2006,Wisconsin,82,Penn St.,62,,
Sat Feb 11 2006,Michigan,70,Purdue,84,,
Sun Feb 12 2006,Illinois,53,Ohio St.,69,,
Tue Feb 14 2006,Michigan St.,54,Iowa,66,,
Wed Feb 15 2006,Northwestern,47,Illinois,63,,
Wed Feb 15 2006,Minnesota,50,Michigan,72,,
Wed Feb 15 2006,Indiana,68,Penn St.,71,,
Wed Feb 15 2006,Ohio St.,73,Wisconsin,78,,
Sat Feb 18 2006,Michigan,71,Michigan St.,90,,
Sat Feb 18 2006,Iowa,61,Minnesota,74,,
Sat Feb 18 2006,Northwestern,52,Ohio St.,61,,
Sat Feb 18 2006,Penn St.,69,Purdue,61,,
Sun Feb 19 2006,Indiana,58,Illinois,70,,
Tue Feb 21 2006,Illinois,64,Michigan,72,,
Wed Feb 22 2006,Penn St.,65,Indiana,69,,
Wed Feb 22 2006,Ohio St.,79,Michigan St.,68,,
Wed Feb 22 2006,Purdue,50,Minnesota,62,,
Thu Feb 23 2006,Wisconsin,51,Northwestern,62,,
Sat Feb 25 2006,Iowa,59,Illinois,71,,
Sat Feb 25 2006,Michigan,54,Ohio St.,64,,
Sat Feb 25 2006,Northwestern,55,Penn St.,68,,
Sun Feb 26 2006,Michigan St.,71,Indiana,78,,
Sun Feb 26 2006,Minnesota,74,Wisconsin,80,,
Tue Feb 28 2006,Illinois,71,Minnesota,65,,
Wed Mar 1 2006,Penn St.,38,Iowa,65,,
Wed Mar 1 2006,Ohio St.,56,Northwestern,53,,
Wed Mar 1 2006,Indiana,70,Purdue,59,,
Thu Mar 2 2006,Wisconsin,65,Michigan St.,74,,
Sat Mar 4 2006,Wisconsin,44,Iowa,59,,
Sat Mar 4 2006,Indiana,69,Michigan,67,,
Sat Mar 4 2006,Illinois,75,Michigan St.,68,,
Sat Mar 4 2006,Minnesota,53,Northwestern,57,,
Sun Mar 5 2006,Purdue,57,Ohio St.,76,,
