1	Villanova	BE	14-1	+29.73	125.3	2	95.6	37	70.1	146	+.016	145	+5.93	24	107.5	26	101.5	43	+3.61	71
2	Michigan St.	B10	15-2	+29.28	118.5	8	89.2	6	67.4	272	-.024	244	+0.40	166	105.4	90	105.0	263	-3.94	296
3	Virginia	ACC	14-1	+28.93	113.3	37	84.4	1	60.5	351	+.004	174	+2.95	82	105.5	82	102.6	99	-0.22	183
4	Texas Tech	B12	14-1	+27.52	115.1	25	87.6	3	69.2	202	-.018	226	-1.67	242	103.1	233	104.7	244	-6.46	332
5	Purdue	B10	15-2	+27.51	118.2	9	90.7	9	69.9	159	-.008	206	+2.96	81	105.2	99	102.2	69	+1.42	131
6	Duke	ACC	13-2	+25.35	125.6	1	100.3	108	72.8	49	+.058	68	+6.45	17	107.7	20	101.3	34	+3.92	64
7	Kansas	B12	12-3	+24.55	119.4	5	94.8	29	71.3	96	+.003	179	+6.95	12	108.0	13	101.0	25	+2.86	92
8	Cincinnati	Amer	14-2	+24.46	111.3	52	86.8	2	67.1	287	-.016	222	-2.25	257	102.7	249	105.0	261	-5.07	314
9	Gonzaga	WCC	14-3	+24.32	118.5	7	94.1	21	70.6	124	-.045	278	+0.17	176	105.0	111	104.8	249	+3.92	65
10	West Virginia	B12	14-1	+23.19	115.4	24	92.2	12	74.0	27	+.104	23	+1.23	135	103.4	208	102.1	65	-4.65	306
11	Wichita St.	Amer	13-2	+22.95	116.9	15	94.0	20	69.6	171	+.009	164	+2.99	80	106.6	50	103.6	159	+3.48	77
12	North Carolina	ACC	12-4	+22.11	114.5	26	92.3	13	74.3	23	-.005	197	+9.30	5	109.0	5	99.6	5	+6.71	28
13	Oklahoma	B12	12-2	+21.04	117.9	11	96.9	48	78.1	3	+.050	81	+5.87	26	108.5	7	102.6	95	+1.29	138
14	Notre Dame	ACC	13-3	+20.59	116.2	18	95.6	35	67.1	285	-.004	193	+0.92	149	105.0	113	104.0	197	-1.16	206
15	Clemson	ACC	14-1	+20.51	111.9	47	91.4	10	67.6	268	+.034	97	+1.96	112	105.9	72	103.9	184	-0.45	187
16	Tennessee	SEC	10-4	+20.18	112.9	40	92.8	14	69.5	183	-.032	260	+10.04	4	110.3	3	100.3	8	+7.51	22
17	Arizona	P12	12-4	+20.18	119.1	6	99.0	76	69.4	189	+.011	158	+5.65	30	106.6	48	100.9	22	+3.19	88
18	Seton Hall	BE	14-2	+20.03	116.5	17	96.5	46	71.5	83	-.004	194	+4.30	51	104.9	121	100.6	13	+1.70	125
19	Creighton	BE	13-3	+20.02	115.7	23	95.7	38	74.4	21	+.014	150	+1.76	120	106.1	64	104.4	219	-3.21	279
20	Arizona St.	P12	13-2	+20.02	120.7	4	100.7	110	72.5	51	+.001	181	+4.55	44	105.4	91	100.9	20	+0.45	160
21	Xavier	BE	15-2	+19.98	117.8	13	97.8	59	72.9	47	+.088	37	+4.98	38	106.7	40	101.7	51	+2.45	106
